14/01/2024 09:00:00 - 14/01/2024 10:00:00,BZN|BG,Solar,878.14
14/01/2024 10:00:00 - 14/01/2024 11:00:00,BZN|BG,Solar,1263.24
14/01/2024 11:00:00 - 14/01/2024 12:00:00,BZN|BG,Solar,1496.97
14/01/2024 12:00:00 - 14/01/2024 13:00:00,BZN|BG,Solar,1557.47
14/01/2024 13:00:00 - 14/01/2024 14:00:00,BZN|BG,Solar,1436.10
14/01/2024 14:00:00 - 14/01/2024 15:00:00,BZN|BG,Solar,1129.74
14/01/2024 15:00:00 - 14/01/2024 16:00:00,BZN|BG,Solar,563.71
14/01/2024 16:00:00 - 14/01/2024 17:00:00,BZN|BG,Solar,143.92
14/01/2024 17:00:00 - 14/01/2024 18:00:00,BZN|BG,Solar,3.06
14/01/2024 18:00:00 - 14/01/2024 19:00:00,BZN|BG,Solar,0.06
15/01/2024 06:00:00 - 15/01/2024 07:00:00,BZN|BG,Solar,0.01
15/01/2024 07:00:00 - 15/01/2024 08:00:00,BZN|BG,Solar,2.34
15/01/2024 08:00:00 - 15/01/2024 09:00:00,BZN|BG,Solar,168.32
15/01/2024 09:00:00 - 15/01/2024 10:00:00,BZN|BG,Solar,616.15
15/01/2024 10:00:00 - 15/01/2024 11:00:00,BZN|BG,Solar,818.03
15/01/2024 11:00:00 - 15/01/2024 12:00:00,BZN|BG,Solar,975.45
15/01/2024 12:00:00 - 15/01/2024 13:00:00,BZN|BG,Solar,936.50
15/01/2024 13:00:00 - 15/01/2024 14:00:00,BZN|BG,Solar,901.01
15/01/2024 14:00:00 - 15/01/2024 15:00:00,BZN|BG,Solar,730.95
15/01/2024 15:00:00 - 15/01/2024 16:00:00,BZN|BG,Solar,361.61
15/01/2024 16:00:00 - 15/01/2024 17:00:00,BZN|BG,Solar,59.69
15/01/2024 17:00:00 - 15/01/2024 18:00:00,BZN|BG,Solar,0.57
15/01/2024 18:00:00 - 15/01/2024 19:00:00,BZN|BG,Solar,0.02
16/01/2024 06:00:00 - 16/01/2024 07:00:00,BZN|BG,Solar,0.01
16/01/2024 07:00:00 - 16/01/2024 08:00:00,BZN|BG,Solar,1.69
16/01/2024 08:00:00 - 16/01/2024 09:00:00,BZN|BG,Solar,124.88
16/01/2024 09:00:00 - 16/01/2024 10:00:00,BZN|BG,Solar,429.17
16/01/2024 10:00:00 - 16/01/2024 11:00:00,BZN|BG,Solar,711.71
16/01/2024 11:00:00 - 16/01/2024 12:00:00,BZN|BG,Solar,935.43
16/01/2024 12:00:00 - 16/01/2024 13:00:00,BZN|BG,Solar,1113.08
16/01/2024 13:00:00 - 16/01/2024 14:00:00,BZN|BG,Solar,1251.05
16/01/2024 14:00:00 - 16/01/2024 15:00:00,BZN|BG,Solar,1108.41
16/01/2024 15:00:00 - 16/01/2024 16:00:00,BZN|BG,Solar,748.23
16/01/2024 16:00:00 - 16/01/2024 17:00:00,BZN|BG,Solar,147.95
16/01/2024 17:00:00 - 16/01/2024 18:00:00,BZN|BG,Solar,1.68
16/01/2024 18:00:00 - 16/01/2024 19:00:00,BZN|BG,Solar,0.05
17/01/2024 06:00:00 - 17/01/2024 07:00:00,BZN|BG,Solar,0.02
17/01/2024 07:00:00 - 17/01/2024 08:00:00,BZN|BG,Solar,3.94
17/01/2024 08:00:00 - 17/01/2024 09:00:00,BZN|BG,Solar,258.16
17/01/2024 09:00:00 - 17/01/2024 10:00:00,BZN|BG,Solar,853.17
17/01/2024 10:00:00 - 17/01/2024 11:00:00,BZN|BG,Solar,1181.78
17/01/2024 11:00:00 - 17/01/2024 12:00:00,BZN|BG,Solar,1354.27
17/01/2024 12:00:00 - 17/01/2024 13:00:00,BZN|BG,Solar,1326.98
17/01/2024 13:00:00 - 17/01/2024 14:00:00,BZN|BG,Solar,1354.45
17/01/2024 14:00:00 - 17/01/2024 15:00:00,BZN|BG,Solar,1156.35
17/01/2024 15:00:00 - 17/01/2024 16:00:00,BZN|BG,Solar,691.30
17/01/2024 16:00:00 - 17/01/2024 17:00:00,BZN|BG,Solar,146.63
17/01/2024 17:00:00 - 17/01/2024 18:00:00,BZN|BG,Solar,1.65
17/01/2024 18:00:00 - 17/01/2024 19:00:00,BZN|BG,Solar,0.04
18/01/2024 06:00:00 - 18/01/2024 07:00:00,BZN|BG,Solar,0.02
18/01/2024 07:00:00 - 18/01/2024 08:00:00,BZN|BG,Solar,0.18
18/01/2024 08:00:00 - 18/01/2024 09:00:00,BZN|BG,Solar,33.01
18/01/2024 09:00:00 - 18/01/2024 10:00:00,BZN|BG,Solar,145.13
18/01/2024 10:00:00 - 18/01/2024 11:00:00,BZN|BG,Solar,337.72
18/01/2024 11:00:00 - 18/01/2024 12:00:00,BZN|BG,Solar,506.21
18/01/2024 12:00:00 - 18/01/2024 13:00:00,BZN|BG,Solar,582.61
18/01/2024 13:00:00 - 18/01/2024 14:00:00,BZN|BG,Solar,667.59
18/01/2024 14:00:00 - 18/01/2024 15:00:00,BZN|BG,Solar,534.11
18/01/2024 15:00:00 - 18/01/2024 16:00:00,BZN|BG,Solar,414.39
18/01/2024 16:00:00 - 18/01/2024 17:00:00,BZN|BG,Solar,105.29
18/01/2024 17:00:00 - 18/01/2024 18:00:00,BZN|BG,Solar,0.93
18/01/2024 18:00:00 - 18/01/2024 19:00:00,BZN|BG,Solar,0.06
19/01/2024 06:00:00 - 19/01/2024 07:00:00,BZN|BG,Solar,0.02
19/01/2024 07:00:00 - 19/01/2024 08:00:00,BZN|BG,Solar,3.33
19/01/2024 08:00:00 - 19/01/2024 09:00:00,BZN|BG,Solar,177.51
19/01/2024 09:00:00 - 19/01/2024 10:00:00,BZN|BG,Solar,685.50
19/01/2024 10:00:00 - 19/01/2024 11:00:00,BZN|BG,Solar,1095.91
19/01/2024 11:00:00 - 19/01/2024 12:00:00,BZN|BG,Solar,1339.13
19/01/2024 12:00:00 - 19/01/2024 13:00:00,BZN|BG,Solar,1528.75
19/01/2024 13:00:00 - 19/01/2024 14:00:00,BZN|BG,Solar,1463.89
19/01/2024 14:00:00 - 19/01/2024 15:00:00,BZN|BG,Solar,1113.73
19/01/2024 15:00:00 - 19/01/2024 16:00:00,BZN|BG,Solar,584.69
19/01/2024 16:00:00 - 19/01/2024 17:00:00,BZN|BG,Solar,162.61
19/01/2024 17:00:00 - 19/01/2024 18:00:00,BZN|BG,Solar,4.34
19/01/2024 18:00:00 - 19/01/2024 19:00:00,BZN|BG,Solar,0.04
20/01/2024 06:00:00 - 20/01/2024 07:00:00,BZN|BG,Solar,0.02
20/01/2024 07:00:00 - 20/01/2024 08:00:00,BZN|BG,Solar,0.04
20/01/2024 08:00:00 - 20/01/2024 09:00:00,BZN|BG,Solar,3.23
20/01/2024 09:00:00 - 20/01/2024 10:00:00,BZN|BG,Solar,23.07
20/01/2024 10:00:00 - 20/01/2024 11:00:00,BZN|BG,Solar,51.16
20/01/2024 11:00:00 - 20/01/2024 12:00:00,BZN|BG,Solar,70.90
20/01/2024 12:00:00 - 20/01/2024 13:00:00,BZN|BG,Solar,85.07
20/01/2024 13:00:00 - 20/01/2024 14:00:00,BZN|BG,Solar,76.41
20/01/2024 14:00:00 - 20/01/2024 15:00:00,BZN|BG,Solar,65.70
20/01/2024 15:00:00 - 20/01/2024 16:00:00,BZN|BG,Solar,39.87
20/01/2024 16:00:00 - 20/01/2024 17:00:00,BZN|BG,Solar,8.22
20/01/2024 17:00:00 - 20/01/2024 18:00:00,BZN|BG,Solar,0.10
20/01/2024 18:00:00 - 20/01/2024 19:00:00,BZN|BG,Solar,0.04
21/01/2024 06:00:00 - 21/01/2024 07:00:00,BZN|BG,Solar,0.02
21/01/2024 07:00:00 - 21/01/2024 08:00:00,BZN|BG,Solar,0.30
21/01/2024 08:00:00 - 21/01/2024 09:00:00,BZN|BG,Solar,35.47
21/01/2024 09:00:00 - 21/01/2024 10:00:00,BZN|BG,Solar,200.70
21/01/2024 10:00:00 - 21/01/2024 11:00:00,BZN|BG,Solar,500.59
21/01/2024 11:00:00 - 21/01/2024 12:00:00,BZN|BG,Solar,877.04
21/01/2024 12:00:00 - 21/01/2024 13:00:00,BZN|BG,Solar,1183.91
21/01/2024 13:00:00 - 21/01/2024 14:00:00,BZN|BG,Solar,1328.97
21/01/2024 14:00:00 - 21/01/2024 15:00:00,BZN|BG,Solar,1293.36
21/01/2024 15:00:00 - 21/01/2024 16:00:00,BZN|BG,Solar,929.10
21/01/2024 16:00:00 - 21/01/2024 17:00:00,BZN|BG,Solar,294.01
21/01/2024 17:00:00 - 21/01/2024 18:00:00,BZN|BG,Solar,6.90
21/01/2024 18:00:00 - 21/01/2024 19:00:00,BZN|BG,Solar,0.05
22/01/2024 06:00:00 - 22/01/2024 07:00:00,BZN|BG,Solar,0.02
22/01/2024 07:00:00 - 22/01/2024 08:00:00,BZN|BG,Solar,4.85
22/01/2024 08:00:00 - 22/01/2024 09:00:00,BZN|BG,Solar,263.42
22/01/2024 09:00:00 - 22/01/2024 10:00:00,BZN|BG,Solar,847.03
22/01/2024 10:00:00 - 22/01/2024 11:00:00,BZN|BG,Solar,1244.91
22/01/2024 11:00:00 - 22/01/2024 12:00:00,BZN|BG,Solar,1434.42
22/01/2024 12:00:00 - 22/01/2024 13:00:00,BZN|BG,Solar,1483.98
22/01/2024 13:00:00 - 22/01/2024 14:00:00,BZN|BG,Solar,1454.77
22/01/2024 14:00:00 - 22/01/2024 15:00:00,BZN|BG,Solar,1287.42
22/01/2024 15:00:00 - 22/01/2024 16:00:00,BZN|BG,Solar,885.28
22/01/2024 16:00:00 - 22/01/2024 17:00:00,BZN|BG,Solar,278.83
22/01/2024 17:00:00 - 22/01/2024 18:00:00,BZN|BG,Solar,7.55
22/01/2024 18:00:00 - 22/01/2024 19:00:00,BZN|BG,Solar,0.04
23/01/2024 06:00:00 - 23/01/2024 07:00:00,BZN|BG,Solar,0.02
23/01/2024 07:00:00 - 23/01/2024 08:00:00,BZN|BG,Solar,4.77
23/01/2024 08:00:00 - 23/01/2024 09:00:00,BZN|BG,Solar,264.89
23/01/2024 09:00:00 - 23/01/2024 10:00:00,BZN|BG,Solar,841.98
23/01/2024 10:00:00 - 23/01/2024 11:00:00,BZN|BG,Solar,1221.70
23/01/2024 11:00:00 - 23/01/2024 12:00:00,BZN|BG,Solar,1387.17
23/01/2024 12:00:00 - 23/01/2024 13:00:00,BZN|BG,Solar,1437.45
23/01/2024 13:00:00 - 23/01/2024 14:00:00,BZN|BG,Solar,1395.61
23/01/2024 14:00:00 - 23/01/2024 15:00:00,BZN|BG,Solar,1248.74
23/01/2024 15:00:00 - 23/01/2024 16:00:00,BZN|BG,Solar,871.52
23/01/2024 16:00:00 - 23/01/2024 17:00:00,BZN|BG,Solar,286.50
23/01/2024 17:00:00 - 23/01/2024 18:00:00,BZN|BG,Solar,7.44
23/01/2024 18:00:00 - 23/01/2024 19:00:00,BZN|BG,Solar,0.04
24/01/2024 06:00:00 - 24/01/2024 07:00:00,BZN|BG,Solar,0.48
24/01/2024 07:00:00 - 24/01/2024 08:00:00,BZN|BG,Solar,5.94
24/01/2024 08:00:00 - 24/01/2024 09:00:00,BZN|BG,Solar,277.56
24/01/2024 09:00:00 - 24/01/2024 10:00:00,BZN|BG,Solar,900.66
24/01/2024 10:00:00 - 24/01/2024 11:00:00,BZN|BG,Solar,1345.89
24/01/2024 11:00:00 - 24/01/2024 12:00:00,BZN|BG,Solar,1559.75
24/01/2024 12:00:00 - 24/01/2024 13:00:00,BZN|BG,Solar,1668.87
24/01/2024 13:00:00 - 24/01/2024 14:00:00,BZN|BG,Solar,1618.14
24/01/2024 14:00:00 - 24/01/2024 15:00:00,BZN|BG,Solar,1438.32
24/01/2024 15:00:00 - 24/01/2024 16:00:00,BZN|BG,Solar,993.30
24/01/2024 16:00:00 - 24/01/2024 17:00:00,BZN|BG,Solar,315.09
24/01/2024 17:00:00 - 24/01/2024 18:00:00,BZN|BG,Solar,8.02
24/01/2024 18:00:00 - 24/01/2024 19:00:00,BZN|BG,Solar,0.58
25/01/2024 06:00:00 - 25/01/2024 07:00:00,BZN|BG,Solar,0.02
25/01/2024 07:00:00 - 25/01/2024 08:00:00,BZN|BG,Solar,7.53
25/01/2024 08:00:00 - 25/01/2024 09:00:00,BZN|BG,Solar,164.23
25/01/2024 09:00:00 - 25/01/2024 10:00:00,BZN|BG,Solar,556.30
